dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
nhanes_dm,5,5,4,0.7270837951673687,0.4737809111791795,18.75168184947544,0,0,0,,20
nhanes_dm,5,5,5,0.7297384172023942,0.4726904783165529,18.734541249926515,0,0,0,,20
nhanes_dm,5,5,6,0.7314481268011527,0.4729093239258471,18.68369326560231,0,0,0,,20
nhanes_dm,5,5,7,0.7314453557969409,0.4721740773269327,18.72625454478405,0,0,0,,20
nhanes_dm,5,5,8,0.7328031478607848,0.4721319570835965,18.698707706647983,0,0,0,,20
nhanes_dm,5,5,9,0.7324318332963866,0.471902192315411,18.72993142389389,0,0,0,,20
nhanes_dm,5,5,10,0.7327144757260031,0.4716888671767469,18.75712339889138,0,0,0,,20
nhanes_dm,5,5,11,0.7335069829306141,0.4718653555931297,18.712790814854305,0,0,0,,20
nhanes_dm,6,1,1,0.7372988539295235,0.5262908030429486,18.930231086206245,0,0,0,,20
nhanes_dm,6,1,2,0.7380521527389778,0.5277539439815617,18.87566964634212,0,0,0,,20
nhanes_dm,6,1,3,0.7382856475729045,0.5267580215612166,18.904029406565236,0,0,0,,20
nhanes_dm,6,1,4,0.7394336638397113,0.5237277729471221,18.9798808962545,0,0,0,,20
nhanes_dm,6,1,5,0.7398367203982754,0.5224344988213987,19.000014261747467,0,0,0,,20
nhanes_dm,6,1,6,0.7409958554666978,0.5208082063767504,19.05215920123118,0,0,0,,20
nhanes_dm,6,1,7,0.741448946632532,0.5193884919492285,19.044269143917145,0,0,0,,20
nhanes_dm,6,1,8,0.7416073895555537,0.5190982931900971,19.0588919718894,0,0,0,,20
nhanes_dm,6,1,9,0.7418547828914999,0.5185769327587662,19.06439187219821,0,0,0,,20
nhanes_dm,6,2,1,0.7409708381630626,0.4459877842634293,18.943121530515054,0,0,0,,20
nhanes_dm,6,2,2,0.7412905037095102,0.4441272834487224,18.96919875549143,0,0,0,,20
nhanes_dm,6,2,3,0.7415267782438407,0.443521241546117,19.03471495626065,0,0,0,,20
