dataset,variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,Quantile clinical,8,5,2.937116588999743,20,1.8,0.7601010555715613,0.39882005899705014,0.11405208313139323,0.012607437762669328,0.3736673272934874,0.05700514594838549,1.042551577752929
nhanes_dm,Outcome-blind random,8,5,3.3267805089999456,20,1.7,0.593539425877909,0.3027581783194355,0.13091243746453737,0.0012532744209700752,0.42904044973901106,0.15611716612838486,1.0918286588871076
nhanes_dm,Quantile clinical,9,1,2.4939650220003386,20,1.95,0.724947652705392,0.3890518084066471,0.12096764964308068,0.02157559148934709,0.3946088273881661,0.2203346365669008,1.1413366139026726
nhanes_dm,Outcome-blind random,9,1,1.6597255340002448,20,1.7,0.5955300700026547,0.3011325782811459,0.13125031114907332,0.004281200074186078,0.43003467521908195,0.9494853351937059,1.5742561696951705
nhanes_dm,Quantile clinical,9,2,2.9336860580006032,20,1.8,0.7391862841715017,0.41605839416058393,0.11735734797776216,0.011987153444684803,0.38423908600523626,-0.02681589245016523,0.9874933120874457
nhanes_dm,Outcome-blind random,9,2,2.1613030179996713,20,1.7,0.5541432150242279,0.28104286345558993,0.13240310395457283,0.009983020532161884,0.4343082976081413,-0.6541701608023663,0.6079810488363664
nhanes_dm,Quantile clinical,9,3,2.97635591100061,20,1.6,0.7468710341887254,0.41496118560338746,0.11703209620323045,0.01434759799489956,0.38230923461329,0.16464547730124046,1.0948175886251317
nhanes_dm,Outcome-blind random,9,3,1.942769428000247,20,1.65,0.551679482071912,0.2695035460992908,0.13230341368353118,0.0020116262885781725,0.4339446522972723,-0.22329394961136692,0.8688718757488408
nhanes_dm,Quantile clinical,9,4,2.4562904659997002,20,1.8,0.7281603124299754,0.3702816057519473,0.11970349768760538,0.010434128770296954,0.3895160390686262,0.0595973439152859,1.0196419813865618
nhanes_dm,Outcome-blind random,9,4,1.5907313549996616,20,2.0,0.5405677798585102,0.26449787835926447,0.132044031255626,0.00536033515812415,0.4336536952123827,-0.43564277800111245,0.7423135754314595
nhanes_dm,Quantile clinical,9,5,2.912556147000032,20,1.85,0.7458815503057076,0.43070362473347545,0.11684207058202366,0.0132797056364567,0.38188479106873446,-0.04026466229029663,0.9688441777465422
nhanes_dm,Outcome-blind random,9,5,1.7971404990003066,20,1.7,0.5537044039501904,0.27811634349030473,0.13219844035018427,0.003229973601080356,0.4338353083441165,-0.5854151891987809,0.6496579266806433
