threshold,net_benefit,treat_all,analysis,method
0.36999999999999994,0.12606186753308293,-0.00010153315057359613,NHANES CKD cross-validation,Random Forest
0.37999999999999995,0.12265286470871455,-0.016232203040098925,NHANES CKD cross-validation,Random Forest
0.38999999999999996,0.12155265825439551,-0.03289174735223177,NHANES CKD cross-validation,Random Forest
0.39999999999999997,0.12011371712864252,-0.050106609808102276,NHANES CKD cross-validation,Random Forest
0.41,0.11472299519352393,-0.06790502692349382,NHANES CKD cross-validation,Random Forest
0.41999999999999993,0.10857657525181977,-0.08631718256010579,NHANES CKD cross-validation,Random Forest
0.42999999999999994,0.09972692926345718,-0.10537537874537078,NHANES CKD cross-validation,Random Forest
0.43999999999999995,0.09587267742918064,-0.12511422479439532,NHANES CKD cross-validation,Random Forest
0.44999999999999996,0.09401046714479554,-0.14557084706338436,NHANES CKD cross-validation,Random Forest
0.45999999999999996,0.09071704967227355,-0.16678512200900258,NHANES CKD cross-validation,Random Forest
0.47,0.084070885464859,-0.18879993563181402,NHANES CKD cross-validation,Random Forest
0.4799999999999999,0.08044940134492376,-0.21166147285550269,NHANES CKD cross-validation,Random Forest
0.48999999999999994,0.07735482252602535,-0.23541954095070855,NHANES CKD cross-validation,Random Forest
0.49999999999999994,0.07356076759061835,-0.26012793176972276,NHANES CKD cross-validation,Random Forest
0.02,0.35707758583177407,0.35707758583177407,NHANES CKD cross-validation,XGBoost
0.03,0.3504495197063284,0.3504495197063284,NHANES CKD cross-validation,XGBoost
0.039999999999999994,0.34368336886993606,0.343683368869936,NHANES CKD cross-validation,XGBoost
0.049999999999999996,0.33677477275277745,0.33677477275277745,NHANES CKD cross-validation,XGBoost
0.06,0.32971918522887084,0.32971918522887084,NHANES CKD cross-validation,XGBoost
0.06999999999999999,0.32255198661072515,0.322511864639934,NHANES CKD cross-validation,XGBoost
0.07999999999999999,0.3152405673495875,0.3151478631686289,NHANES CKD cross-validation,XGBoost
0.09,0.3077801729187657,0.3076220155111413,NHANES CKD cross-validation,XGBoost
0.09999999999999999,0.30016583747927034,0.2999289267945984,NHANES CKD cross-validation,XGBoost
0.10999999999999999,0.2920569703648691,0.292062959679931,NHANES CKD cross-validation,XGBoost
0.11999999999999998,0.2847208761387866,0.28401822058538473,NHANES CKD cross-validation,XGBoost
0.12999999999999998,0.27687302404234987,0.27578854495992944,NHANES CKD cross-validation,XGBoost
0.13999999999999999,0.26827242524916944,0.2673674815292309,NHANES CKD cross-validation,XGBoost
0.14999999999999997,0.2613194531543961,0.25874827542957485,NHANES CKD cross-validation,XGBoost
